dataset,evaluation_mode,num_agents,num_scenes,num_frames,scenario,TP,FP,FN,precision,recall,F1,IDF1,false_new_tracks,false_new_tracks_per_100_frames,track_breaks,requires_training,uses_temporal_memory,uses_inter_agent_consistency,runtime_ms_per_frame,feature_mode,seed,setting
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,c_temporal_geometric,32096,575,5679,0.9824002938385724,0.8496624751819987,0.9112227805695143,0.9112227805695143,550,91.66666666666666,3983,False,True,True,2.7179821700369647e-05,c_temporal_geometric,44,controlled_multiagent
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,full,32096,575,5679,0.9824002938385724,0.8496624751819987,0.9112227805695143,0.9112227805695143,550,91.66666666666666,3983,False,False,True,2.7179821700369647e-05,full,44,controlled_multiagent
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,c_only,27224,1994,10551,0.9317543979738517,0.7206882859033753,0.8127416297225083,0.8127416297225083,1900,316.66666666666663,5404,False,False,True,2.7179821700369647e-05,c_only,55,controlled_multiagent
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,c_k,27212,1526,10563,0.9468995754749808,0.7203706154864328,0.8182460571617578,0.8182460571617578,1446,241.0,5402,False,False,True,2.7179821700369647e-05,c_k,55,controlled_multiagent
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,c_temporal,32100,1315,5675,0.9606464162801137,0.8497683653209794,0.9018120522545301,0.9018120522545301,1244,207.33333333333331,3982,False,True,True,2.7179821700369647e-05,c_temporal,55,controlled_multiagent
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,c_geometric,26079,568,11696,0.9786842796562465,0.6903772336201192,0.8096302505355314,0.8096302505355314,553,92.16666666666666,5405,False,False,True,2.7179821700369647e-05,c_geometric,55,controlled_multiagent
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,c_k_temporal,32100,1315,5675,0.9606464162801137,0.8497683653209794,0.9018120522545301,0.9018120522545301,1244,207.33333333333331,3982,False,True,True,2.7179821700369647e-05,c_k_temporal,55,controlled_multiagent
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,c_k_geometric,26069,556,11706,0.9791173708920188,0.6901125082726671,0.8095962732919254,0.8095962732919254,542,90.33333333333333,5404,False,False,True,2.7179821700369647e-05,c_k_geometric,55,controlled_multiagent
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,c_temporal_geometric,32096,582,5679,0.982189852500153,0.8496624751819987,0.9111322441911629,0.9111322441911629,558,93.0,3983,False,True,True,2.7179821700369647e-05,c_temporal_geometric,55,controlled_multiagent
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,full,32096,582,5679,0.982189852500153,0.8496624751819987,0.9111322441911629,0.9111322441911629,558,93.0,3983,False,False,True,2.7179821700369647e-05,full,55,controlled_multiagent
