method,TP,FP,FN,precision,recall,F1,IDF1,false_new_tracks,false_new_tracks_per_100_frames,track_breaks,detector,threshold,false_new_per_100_frames,F1_delta_vs_bytetrack,false_new_delta_vs_bytetrack,notes,sequence_id
confidence_threshold_0.1,12242,8617,10855,0.5868929478882018,0.5300255444430012,0.557011557011557,0.557011557011557,1638,353.01724137931035,862,yolov8s,0.1,353.01724137931035,0.10302451956588843,-5200.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000086_00000_v
confidence_threshold_0.2,2318,3136,11260,0.425009167583425,0.1707173368684637,0.24358974358974358,0.24358974358974358,303,30.981595092024538,56,yolov8s,0.2,30.981595092024538,-0.210397293855925,-6535.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000268_05773_v
confidence_threshold_0.2,630,2644,5761,0.19242516799022602,0.09857612267250822,0.13036730470770821,0.13036730470770821,353,191.84782608695653,107,yolov8s,0.2,191.84782608695653,-0.3236197327379604,-6485.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000305_00000_v
confidence_threshold_0.2,4445,1904,7583,0.7001102535832414,0.3695543731293648,0.4837568700005441,0.4837568700005441,667,242.54545454545453,395,yolov8s,0.2,242.54545454545453,0.02976983255487553,-6171.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000339_00001_v
confidence_threshold_0.3,8899,1627,14198,0.8454303629108874,0.38528813265792095,0.5293400350950243,0.5293400350950243,264,56.896551724137936,535,yolov8s,0.3,56.896551724137936,0.07535299764935566,-6574.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000086_00000_v
confidence_threshold_0.3,4104,1118,13175,0.7859057832248181,0.2375137450083917,0.3647837873872273,0.3647837873872273,272,77.93696275071633,469,yolov8s,0.3,77.93696275071633,-0.08920325005844132,-6566.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000117_02622_v
confidence_threshold_0.3,7610,937,16478,0.8903708903708903,0.31592494187977416,0.4663704611613298,0.4663704611613298,324,139.0557939914163,721,yolov8s,0.3,139.0557939914163,0.012383423715661201,-6514.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000137_00458_v
confidence_threshold_0.3,3237,1889,14434,0.6314865392118612,0.18318148378699564,0.28398473483353076,0.28398473483353076,496,136.63911845730027,351,yolov8s,0.3,136.63911845730027,-0.17000230261213783,-6342.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000182_00000_v
confidence_threshold_0.3,2204,2326,11374,0.48653421633554084,0.16232140226837533,0.24342831897503867,0.24342831897503867,184,18.813905930470348,65,yolov8s,0.3,18.813905930470348,-0.21055871847062993,-6654.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000268_05773_v
confidence_threshold_0.3,399,1827,5992,0.1792452830188679,0.0624315443592552,0.0926076360682372,0.0926076360682372,190,103.26086956521738,72,yolov8s,0.3,103.26086956521738,-0.3613794013774314,-6648.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000305_00000_v
confidence_threshold_0.3,3661,692,8367,0.8410291752814151,0.3043731293648154,0.4469812587754105,0.4469812587754105,283,102.9090909090909,344,yolov8s,0.3,102.9090909090909,-0.007005778670258089,-6555.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000339_00001_v
