dataset,evaluation_mode,num_agents,num_scenes,num_frames,scenario,TP,FP,FN,precision,recall,F1,IDF1,false_new_tracks,false_new_tracks_per_100_frames,track_breaks,requires_training,uses_temporal_memory,uses_inter_agent_consistency,runtime_ms_per_frame,method,seed,agent_count,false_new_per_100_frames,map_extra_entries,extra_messages_due_to_false_tracks,notes
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,bayesian_existence_filter,32035,149,5740,0.9953703703703703,0.8480476505625414,0.9158221243871411,0.9158221243871411,99,16.5,3965,False,True,True,2.7179821700369647e-05,bayesian_existence_filter,44,3,16.5,99,198,controlled replay from custom_uav_swarm_v8; not cooperative perception SOTA
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,S2_tnorm_temporal,32118,585,5657,0.9821117328685441,0.8502448709463931,0.9114333550895315,0.9114333550895315,559,93.16666666666666,3980,False,True,True,2.9897803870406613e-05,S2_tnorm_temporal,44,3,93.16666666666666,559,1118,controlled replay from custom_uav_swarm_v8; not cooperative perception SOTA
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,S2_v9_selected,30478,125,7297,0.9959154331274712,0.8068299139642621,0.8914563163590629,0.8914563163590629,122,20.333333333333332,4510,False,False,True,2.7179821700369647e-05,S2_v9_selected,44,3,20.333333333333332,122,244,controlled replay from custom_uav_swarm_v8; not cooperative perception SOTA
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,naive_union,32135,4165,5640,0.8852617079889807,0.8506949040370615,0.8676341545730678,0.8676341545730678,4016,669.3333333333334,4006,False,False,True,2.7179821700369647e-05,naive_union,55,3,669.3333333333334,4016,8032,controlled replay from custom_uav_swarm_v8; not cooperative perception SOTA
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,iou_fusion_only,29798,316,7977,0.9895065418077971,0.7888285903375248,0.8778447171117559,0.8778447171117559,306,51.0,4502,False,False,True,2.7179821700369647e-05,iou_fusion_only,55,3,51.0,306,612,controlled replay from custom_uav_swarm_v8; not cooperative perception SOTA
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,mean_confidence_fusion,29815,341,7960,0.9886921342353098,0.7892786234281932,0.8778024760418661,0.8778024760418661,330,55.00000000000001,4488,False,False,True,2.7179821700369647e-05,mean_confidence_fusion,55,3,55.00000000000001,330,660,controlled replay from custom_uav_swarm_v8; not cooperative perception SOTA
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,max_confidence_fusion,29829,353,7946,0.9883042873235703,0.7896492389146261,0.8778786585635034,0.8778786585635034,342,56.99999999999999,4488,False,False,True,2.7179821700369647e-05,max_confidence_fusion,55,3,56.99999999999999,342,684,controlled replay from custom_uav_swarm_v8; not cooperative perception SOTA
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,bayesian_existence_filter,32035,149,5740,0.9953703703703703,0.8480476505625414,0.9158221243871411,0.9158221243871411,99,16.5,3965,False,True,True,2.7179821700369647e-05,bayesian_existence_filter,55,3,16.5,99,198,controlled replay from custom_uav_swarm_v8; not cooperative perception SOTA
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,S2_tnorm_temporal,32119,590,5656,0.9819621510899141,0.8502713434811383,0.9113841439191873,0.9113841439191873,565,94.16666666666667,3981,False,True,True,2.9897803870406613e-05,S2_tnorm_temporal,55,3,94.16666666666667,565,1130,controlled replay from custom_uav_swarm_v8; not cooperative perception SOTA
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,S2_v9_selected,30485,125,7290,0.9959163672002613,0.8070152217074785,0.8915697886963515,0.8915697886963515,122,20.333333333333332,4514,False,False,True,2.7179821700369647e-05,S2_v9_selected,55,3,20.333333333333332,122,244,controlled replay from custom_uav_swarm_v8; not cooperative perception SOTA
